AppId,StartTime,EndTime,Id
"Dotyk.Application.AirHockey","2018-02-01T15:57:03.8883854Z","2018-02-01T16:02:16.211Z","f4254058-a672-4110-b70a-de843cf16e82"
"Dotyk.Application.JigsawPuzzle","2018-02-01T15:57:59.7487317Z","2018-02-01T16:06:45.249Z","99c89d60-0345-411f-a8b8-9598a0ae6b52"
"Dotyk.Application.JigsawPuzzle","2018-02-01T15:58:15.2847107Z","2018-02-01T15:58:53.218Z","38d103d5-1189-4cf4-85ae-34701da78172"
"Dotyk.Application.AirHockey","2018-02-01T15:59:31.9716255Z","2018-02-01T16:01:00.671Z","ca8817a9-50c8-4e54-b9b8-80e468c0a336"
"Dotyk.Application.Paint","2018-02-01T15:59:47.550513Z","2018-02-01T16:02:53.636Z","532512c3-7d92-45a7-83c9-d6b5da32f9d6"
"Dotyk.Application.Restaurant","2018-02-01T16:00:32.4899549Z","2018-02-01T16:03:54.323Z","5570747d-5aa6-42cb-a15b-3fb715a1ac4a"
"Dotyk.Application.Restaurant","2018-02-01T16:00:35.7066303Z","2018-02-01T16:05:48.759Z","f56396fc-eb68-43b3-8e9c-b2e5278e59a9"
"Dotyk.Application.Restaurant","2018-02-01T16:01:00.6337519Z","2018-02-01T16:02:46.602Z","a506a9e5-26c4-41c8-a684-d856824df869"
"Dotyk.Application.Restaurant","2018-02-01T16:01:14.3461975Z","2018-02-01T16:11:35.358Z","2a7c76b5-bfc4-4496-a1aa-6563a90f5c76"
"Dotyk.Application.Paint","2018-02-01T16:01:20.7356002Z","2018-02-01T16:04:40.908Z","ab34effc-3f3e-402b-a462-9d3f7113f564"
"Dotyk.Application.Wallpapers","2018-02-01T16:01:42.6547511Z","2018-02-01T16:06:50.549Z","0dfac597-0ca4-46cc-a5ea-022621522815"
"Dotyk.Application.Restaurant","2018-02-01T16:02:32.0769268Z","2018-02-01T16:28:55.943Z","107bdc8b-c234-4cf0-b037-b902ed33001d"
"Dotyk.Application.AirHockey","2018-02-01T16:02:58.0678931Z","2018-02-01T16:06:44.505Z","a8da36c6-c9f3-4799-9582-7278a559ac21"
"Dotyk.Application.Restaurant","2018-02-01T16:03:44.2085096Z","2018-02-01T16:29:10.797Z","079bf88b-7ff8-4730-886e-c4f61aca72cd"
"Dotyk.Application.Restaurant","2018-02-01T16:03:50.390929Z","2018-02-01T16:05:42.561Z","9505ade9-0ad5-4650-bf76-f681598a2ed4"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:04:01.4148474Z","2018-02-01T16:05:21.467Z","ada459e5-450c-427c-b43a-0b1e758fb36f"
"Dotyk.Application.Restaurant","2018-02-01T16:04:44.103899Z","2018-02-01T16:05:18.533Z","96988c3b-b048-4630-8b8f-d1356b3d0928"
"Dotyk.Application.Restaurant","2018-02-01T16:05:25.1728161Z","2018-02-01T16:06:45.268Z","4daf4ac4-7dca-47b5-b0f8-dcfd478d081b"
"Dotyk.Application.Restaurant","2018-02-01T16:05:51.8612643Z","2018-02-01T16:09:25.829Z","15f79b5e-6b49-409d-9136-8e83856563b0"
"Dotyk.Application.AirHockey","2018-02-01T16:06:02.8778008Z","2018-02-01T16:20:39.786Z","b50b516a-7092-4697-9bb1-5acb49752deb"
"Dotyk.Application.Restaurant","2018-02-01T16:06:37.5388331Z","2018-02-01T16:06:57.166Z","c6e7b543-35be-45c0-a0c2-a3be61e8f103"
"Dotyk.Application.Restaurant","2018-02-01T16:06:51.8905445Z","2018-02-01T16:27:09.949Z","8c694f52-3bcd-4fc9-847a-2abc8689f05c"
"Dotyk.Application.Restaurant","2018-02-01T16:06:53.5734464Z","2018-02-01T16:07:10.869Z","54d95bc9-c2a2-498d-a0b1-404f06096017"
"Dotyk.Application.Restaurant","2018-02-01T16:06:54.3652913Z","2018-02-01T16:11:14.554Z","854b946a-fbee-46e1-b57e-4dc64e98a588"
"Dotyk.Application.Wallpapers","2018-02-01T16:07:11.9574765Z","2018-02-01T16:08:42.142Z","228d9218-f444-4fad-a048-49023832397d"
"Dotyk.Application.Restaurant","2018-02-01T16:07:16.1737968Z","2018-02-01T16:08:08.242Z","74ecef8a-6646-4163-9b0c-00d465115f5c"
"Dotyk.Application.Restaurant","2018-02-01T16:08:12.3704791Z","2018-02-01T16:08:16.921Z","2ca8506f-bfe7-4c7f-85de-53a371bb5f6a"
"Dotyk.Application.Wallpapers","2018-02-01T16:08:13.3625258Z","2018-02-01T16:08:46.576Z","18a39d4e-e617-4ce8-bf43-db7c3ec27d65"
"Dotyk.Application.Restaurant","2018-02-01T16:08:21.4815616Z","2018-02-01T16:08:25.541Z","01640971-b330-48f8-9b18-4aec94a09b39"
"Dotyk.Application.AirHockey","2018-02-01T16:08:48.2018936Z","2018-02-01T16:26:44.953Z","1a681cdf-08dc-40a2-9422-35dc662cb796"
"Dotyk.Application.AirHockey","2018-02-01T16:08:48.6189453Z","2018-02-01T16:27:02.086Z","337e5c86-a31f-42ce-b275-802f63369ecf"
"Dotyk.Application.AirHockey","2018-02-01T16:09:32.0983319Z","2018-02-01T16:11:04.182Z","38173795-c1bc-48db-bc5b-395ff9a7cf69"
"Dotyk.Application.News","2018-02-01T16:11:48.5615712Z","2018-02-01T16:12:02.558Z","f61f1e45-667d-4aee-96da-8003e9ee6c48"
"Dotyk.Application.Wallpapers","2018-02-01T16:13:06.1362419Z","2018-02-01T16:13:14.38Z","125f17ae-5bf2-4265-bbec-d10456617aaa"
"Dotyk.Application.Wallpapers","2018-02-01T16:13:28.2175028Z","2018-02-01T16:14:26.316Z","13255529-5cb5-48aa-b0d6-dd76828dabd6"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:15:38.9440988Z","2018-02-01T16:17:40.739Z","ff20ea41-0d76-4f25-853c-7e5488cded27"
"Dotyk.Application.Restaurant","2018-02-01T16:17:44.9140532Z","2018-02-01T16:19:46.762Z","cd9f4a5b-c93e-4980-b640-7a4bacbe40b4"
"Dotyk.Application.Restaurant","2018-02-01T16:17:47.6331689Z","2018-02-01T16:18:38.554Z","ea0126b1-63dd-40be-944e-0ef006280c8c"
"Dotyk.Application.Restaurant","2018-02-01T16:17:55.1785431Z","2018-02-01T16:18:33.476Z","09f681a0-2728-4e5b-8dc7-abddff69a0d6"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:17:56.6792868Z","2018-02-01T16:19:01.229Z","4e67536e-3158-4b39-9164-c5b743c51eef"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:18:50.529983Z","2018-02-01T16:37:16.11Z","221a9b3a-f03a-480f-833d-113386ef8e14"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:19:09.3914335Z","2018-02-01T16:20:59.418Z","d128f8f9-f7d9-4c3e-a5b9-4e2ec9723308"
"Dotyk.Application.Wallpapers","2018-02-01T16:19:15.474818Z","2018-02-01T16:19:37.881Z","bec7d27a-0e97-49b9-91a8-5e44d7529a42"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:19:42.3897102Z","2018-02-01T16:22:48.797Z","50f55ac6-f4a7-4884-a9c7-8644059cc513"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:19:51.3044287Z","2018-02-01T16:26:39.393Z","f7b583d1-017a-4762-8c35-c5bf49474e8e"
"Dotyk.Application.AirHockey","2018-02-01T16:21:02.6947229Z","2018-02-01T16:28:30.201Z","765235b0-9668-426c-821f-f79173479e2e"
"Dotyk.Application.AirHockey","2018-02-01T16:21:40.9292649Z","2018-02-01T16:39:40.134Z","a34f5ba3-f18c-4862-ad90-12a63d04190a"
"Dotyk.Application.PhotoShare","2018-02-01T16:22:53.5043838Z","2018-02-01T16:23:58.671Z","fe10ab56-dd1e-4798-a12a-093070db8de7"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:24:01.6382836Z","2018-02-01T16:48:58.372Z","a8097e43-27c7-4999-8819-1316f8f3c2b2"
"Dotyk.Application.AirHockey","2018-02-01T16:27:14.2747492Z","2018-02-01T16:27:21.387Z","3ddd5aa1-9d62-4006-a649-8459ef5cf570"
"Dotyk.Application.AirHockey","2018-02-01T16:27:14.846276Z","2018-02-01T16:27:32.015Z","eeeb8c7e-bb11-41b3-8493-a58c363be3cf"
"Dotyk.Application.Paint","2018-02-01T16:27:27.355663Z","2018-02-01T16:28:03.423Z","66c4f945-f68b-441c-8b7b-d4738d214b70"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:28:08.5111995Z","2018-02-01T16:28:37.624Z","72ef32cc-e008-4cd6-bbf8-c08f2baae4e4"
"Dotyk.Application.Restaurant","2018-02-01T16:28:09.4087124Z","2018-02-01T16:28:44.87Z","b7dd8a7f-9d69-4b5e-8849-3660cadff7f4"
"Dotyk.Application.PhotoShare","2018-02-01T16:28:42.302559Z","2018-02-01T16:29:53.205Z","fd4fa63d-fe89-4ade-919a-3c2bc99a8b34"
"Dotyk.Application.Memory","2018-02-01T16:28:47.1604043Z","2018-02-01T16:29:25.615Z","a4cdd661-7eac-41c9-8b6c-077d26d8a461"
"Dotyk.Application.Memory","2018-02-01T16:28:48.6653834Z","2018-02-01T16:29:50.81Z","4ec5c2a3-66b4-4991-9828-ab7955caebff"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:29:16.5017638Z","2018-02-01T16:29:54.712Z","107b6a5d-8cdd-4db9-8e48-64ad4fc15d8c"
"Dotyk.Application.Paint","2018-02-01T16:29:16.6808041Z","2018-02-01T16:29:33.38Z","e954a752-fc60-48bd-bb65-86ab5e632ee7"
"Dotyk.Application.AirHockey","2018-02-01T16:29:16.7160596Z","2018-02-01T16:29:32.616Z","1d718426-53b4-4b40-bd6d-ad6cce7f5c30"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:29:38.9936017Z","2018-02-01T16:34:11.831Z","2f45203c-0888-46c1-864c-d5b7e12e622a"
"Dotyk.Application.Restaurant","2018-02-01T16:29:45.0227193Z","2018-02-01T16:31:13.48Z","ecf3b8d5-9aac-429b-97f3-686959e76cd8"
"Dotyk.Application.Restaurant","2018-02-01T16:29:57.3162969Z","2018-02-01T16:31:15.88Z","c67f95b2-058e-4459-a225-f2cccb006c3c"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:29:59.7920434Z","2018-02-01T16:34:07.377Z","b0c319b9-272f-4b81-95da-45b6c6546511"
"Dotyk.Application.News","2018-02-01T16:30:04.4818992Z","2018-02-01T16:30:12.91Z","e4a06d78-cf2f-47d0-be75-c65184e14c19"
"Dotyk.Application.Memory","2018-02-01T16:30:15.5953108Z","2018-02-01T16:31:19.623Z","d7363085-a1f1-4cdd-b754-4669409e2710"
"Dotyk.Application.Restaurant","2018-02-01T16:30:30.763485Z","2018-02-01T16:31:18.295Z","d4ef28a7-7db0-48d1-ad1d-5985cbb1a1fd"
"Dotyk.Application.Memory","2018-02-01T16:31:24.6876922Z","2018-02-01T16:33:11.264Z","d0c3e773-21b4-456a-942b-7eed300b17de"
"Dotyk.Application.AirHockey","2018-02-01T16:33:18.1554193Z","2018-02-01T16:55:51.11Z","710fd82b-072a-4d70-82c4-04a6d84f8596"
"Dotyk.Application.Memory","2018-02-01T16:33:19.35716Z","2018-02-01T16:33:26.773Z","ba864e96-7122-4230-ad9f-55b6ae622494"
"Dotyk.Application.JigsawPuzzle","2018-02-01T16:34:17.4280753Z","2018-02-01T16:57:31.046Z","2cc9ced8-a7f4-40b2-b543-665a6719e03a"
"Dotyk.Application.AirHockey","2018-02-01T16:34:18.3081329Z","2018-02-01T16:56:51.875Z","9f62e00f-9d03-4188-a5ea-55bf97b29d78"
"Dotyk.Application.Paint","2018-02-01T16:37:30.7984924Z","2018-02-01T16:37:58.063Z","b976808c-d740-477d-8187-ffad213b97b4"
"Dotyk.Application.PhotoShare","2018-02-01T16:38:08.0718534Z","2018-02-01T16:38:16.003Z","a8f08a22-15da-4282-847d-956d4417a841"
"Dotyk.Application.Wallpapers","2018-02-01T16:38:21.4536272Z","2018-02-01T16:39:24.92Z","d7620236-a629-488c-9f2e-f51b9a815c44"
"Dotyk.Application.AirHockey","2018-02-01T16:38:52.4845009Z","2018-02-01T16:49:18.077Z","5ce11c8b-b224-4141-b70f-be6cca48a902"
